player_id,player_name,poss,ots,otov,oreb,otrans,dts,dtov,dreb,dtrans,net_rapm_full,net_rapm_reconstructed,residual,absresid
1628277,Allisha Gray,2534,-0.005547369,-0.003514221,0.000695495,-0.000751176,0.002317995,-0.001403766,0.005265704,0.001386053,0.479,-0.014243767,0.493243767,
203855,Stephanie Talbot,1321,0.008595111,0.004635365,0.003901639,-0.000920275,-0.007367082,0.00171196,-0.001374035,-0.002704213,-0.331,-0.029669549,-0.301330451,
1628909,Kelsey Mitchell,2660,0.0069881,-0.000454732,-0.001786901,0.004337355,-0.007259849,-0.007081998,0.00890719,-0.009191702,0.442,-0.049436573,0.491436573,
1630442,Natasha Mack,1311,-0.001969173,0.004205343,0.006550121,-0.008284954,0.003895582,9.86E-05,-0.004539446,-0.005983649,0.129,-0.071856643,0.200856643,
1641652,Maddy Siegrist,1187,-0.000541866,0.001664061,0.000617342,-0.006980902,0.001363367,0.001217864,-0.002072014,-0.002027511,0.862,-0.091447387,0.953447387,
204329,Kiah Stokes,1298,-0.000504677,-0.006142373,-0.010657185,-0.001046465,0.002614083,-0.004875144,0.000151332,0.000215673,-0.436,-0.093075297,-0.342924703,
1631019,NaLyssa Smith,2049,0.002476761,-0.001056623,-0.005660237,0.004704626,-0.001784824,-0.00606905,0.006155074,-0.006279898,0.115,-0.128854167,0.243854167,
204323,Cheyenne Parker-Tyus,1077,-0.00015486,0.007895412,0.004020271,-0.004331662,0.003477429,-0.003206974,0.00377513,2.25E-05,-0.305,-0.186235651,-0.118764349,
201886,DeWanna Bonner,2485,-0.00500042,-0.002261011,0.000788804,0.005769149,-0.002511479,0.004144712,0.004490314,-0.000497688,-0.236,-0.207973066,-0.028026934,
1627672,Aerial Powers,649,-0.00152849,-0.00116418,0.003639331,-0.001864344,-0.000978675,0.000862537,-0.00192581,0.001571224,-0.672,-0.218629362,-0.453370638,
1630462,Aari McDonald,1352,0.001036586,-0.000822898,-0.003059377,-0.002655859,0.000777473,-0.000465722,-0.004147593,0.004264523,0.397,-0.221537716,0.618537716,
