game_id,poss_id,off_team,def_team,points,off_p1,off_p2,off_p3,off_p4,off_p5,def_p1,def_p2,def_p3,def_p4,def_p5
1022001001,161,1611661328,1611661313,0,201518,202252,203827,1627668,1628886,203406,204329,1629477,1630127,1630139
1022001001,162,1611661313,1611661328,0,203406,204329,1629477,1630127,1630139,201518,203827,204319,1627668,1628886
1022001001,166,1611661313,1611661328,0,203406,204329,1629477,1630127,1630139,201518,202252,204319,1627668,1628886
1022001001,167,1611661328,1611661313,2,201518,204319,1628244,1628886,1629496,203406,204329,1629477,1630127,1630139
1022001002,0,1611661317,1611661320,0,100940,203398,203400,1628269,1629488,201496,203014,203029,203437,203833
1022001002,1,1611661320,1611661317,0,201496,203014,203029,203437,203833,100940,203398,203400,1628269,1629488
1022001002,2,1611661317,1611661320,2,100940,203398,203400,1628269,1629488,201496,203014,203029,203437,203833
1022001002,3,1611661320,1611661317,0,201496,203014,203029,203437,203833,100940,203398,203400,1628269,1629488
1022001002,4,1611661317,1611661320,2,100940,203398,203400,1628269,1629488,201496,203014,203029,203437,203833
1022001002,5,1611661320,1611661317,2,201496,203014,203029,203437,203833,100940,203398,203400,1628269,1629488
1022001002,6,1611661317,1611661320,0,100940,203398,203400,1628269,1629488,201496,203014,203029,203437,203833
1022001002,7,1611661317,1611661320,0,100940,203398,203400,1628269,1629488,201496,203014,203029,203437,203833
1022001002,8,1611661320,1611661317,0,201496,203014,203029,203437,203833,100940,203398,203400,1628269,1629488
1022001002,9,1611661317,1611661320,0,100940,203398,203400,1628269,1629488,201496,203014,203029,203437,203833
1022001002,10,1611661320,1611661317,2,201496,203014,203029,203437,203833,100940,203398,203400,1628269,1629488
1022001002,11,1611661317,1611661320,0,100940,203398,203400,1628269,1629488,201496,203014,203029,203437,203833
1022001002,12,1611661320,1611661317,2,201496,203014,203029,203437,203833,100940,201913,203400,1628269,1629488
1022001002,13,1611661317,1611661320,3,100940,201913,203400,1628269,1629488,201496,203014,203029,203437,203833
1022001002,14,1611661320,1611661317,0,201496,203014,203029,203437,203833,100940,201913,203400,1628269,1629488
1022001002,15,1611661317,1611661320,0,100940,201913,203400,1628269,1629488,201496,203014,203029,203437,203833
1022001002,16,1611661320,1611661317,2,200671,201496,203014,203029,203833,100940,201913,203400,203829,1629488
1022001002,17,1611661317,1611661320,1,100940,201913,203400,203829,1629488,200671,201496,203014,203029,203833
1022001002,18,1611661320,1611661317,2,200671,201496,203014,203029,203833,100940,201913,203400,203829,1629488
1022001002,19,1611661317,1611661320,0,201913,203400,203829,1629482,1629488,200671,201496,203014,203029,203833
1022001002,20,1611661320,1611661317,0,200671,201496,203014,203029,203833,201913,203400,203829,1629482,1629488
1022001002,21,1611661317,1611661320,2,201913,203400,203829,1629482,1629488,200671,201496,203014,203833,1628279
1022001002,22,1611661320,1611661317,3,200671,201496,203014,203833,1628279,201913,203400,203829,1629482,1629488
1022001002,23,1611661317,1611661320,0,201913,203400,203829,1629482,1629488,200671,201496,203014,203833,1628279
1022001002,24,1611661320,1611661317,0,200671,201496,203014,203833,1628279,201913,203400,203829,1629482,1629488
1022001002,25,1611661320,1611661317,0,200671,201496,203014,203833,1628279,201913,203400,203829,1629482,1629488
1022001002,26,1611661317,1611661320,2,201913,203400,203829,1629482,1629488,200671,203437,203833,1628279,1629485
1022001002,27,1611661317,1611661320,0,201913,203400,203829,1629482,1629488,200671,203437,203833,1628279,1629485
1022001002,28,1611661320,1611661317,2,200671,203437,203833,1628279,1629485,201913,203400,203829,1629482,1629488
1022001002,29,1611661317,1611661320,3,201913,203400,203829,1629482,1629488,200671,203437,203833,1628279,1629485
1022001002,30,1611661320,1611661317,2,200671,203437,1628279,1629485,1630099,201913,203829,1628278,1629482,1629488
1022001002,31,1611661317,1611661320,0,201913,203829,1628278,1629482,1629488,200671,203437,1628279,1629485,1630099
1022001002,32,1611661320,1611661317,2,200671,203437,1628279,1629485,1630099,201913,203829,1628278,1629482,1629488
1022001002,33,1611661317,1611661320,2,201913,203829,1628278,1629482,1629501,200671,203437,1628279,1629485,1630099
1022001002,34,1611661320,1611661317,0,200671,203437,1628279,1629485,1630099,201913,203829,1628278,1629482,1629501
1022001002,35,1611661317,1611661320,0,201913,203829,1628278,1629482,1629501,200671,203437,1628279,1629485,1630099
1022001002,36,1611661320,1611661317,0,200671,203437,1628279,1629485,1630099,201913,203829,1628278,1629482,1629501
1022001002,37,1611661317,1611661320,0,201913,203829,1628278,1629482,1629501,200671,203437,1628279,1629485,1630099
1022001002,38,1611661320,1611661317,2,200671,203437,1628279,1629485,1630099,201913,203829,1628278,1629482,1629501
1022001002,39,1611661317,1611661320,2,201913,203829,1628278,1629482,1629501,200671,203437,1628279,1629485,1630099
1022001002,40,1611661320,1611661317,0,200671,203437,1628279,1629485,1630099,201913,203829,1628278,1629482,1629501
1022001002,41,1611661317,1611661320,3,201913,203829,1628278,1629482,1629501,200671,203437,1628279,1628282,1629485
1022001002,42,1611661320,1611661317,0,200671,203437,1628279,1628282,1629485,201913,203829,1628278,1629482,1629501
1022001002,43,1611661317,1611661320,2,201913,203829,1628278,1629482,1629501,200671,203437,1628279,1628282,1629485
1022001002,44,1611661320,1611661317,0,200671,203437,1628279,1628282,1629485,201913,203829,1628278,1629482,1629501
1022001002,45,1611661317,1611661320,0,201913,203829,1628278,1629482,1629501,200671,203437,1628279,1628282,1629485
1022001002,46,1611661320,1611661317,0,200671,203437,1628279,1628282,1629485,201913,203829,1628278,1629482,1629501
1022001002,47,1611661320,1611661317,3,200671,203029,204334,1628279,1628282,201913,203829,1628278,1629482,1629501
1022001002,48,1611661317,1611661320,3,201913,203829,1628278,1629482,1629501,200671,203029,204334,1628279,1628282
1022001002,49,1611661320,1611661317,0,200671,203029,204334,1628279,1628282,201913,203398,203829,1628278,1629501
1022001002,50,1611661317,1611661320,0,201913,203398,203829,1628278,1629501,200671,203029,204334,1628279,1628282
1022001002,51,1611661320,1611661317,0,200671,201496,203029,1628279,1628282,201913,203398,203829,1628278,1629501
1022001002,52,1611661317,1611661320,0,201913,203398,203829,1628278,1629501,200671,201496,204334,1628279,1628282
1022001002,53,1611661320,1611661317,2,200671,201496,204334,1628279,1628282,201913,203398,203829,1628278,1629501
1022001002,104,1611661320,1611661317,2,201496,203029,203437,203833,1628279,100940,201913,203400,203829,1629488
1022001002,105,1611661317,1611661320,0,100940,201913,203400,203829,1629488,201496,203029,203437,203833,1628279
1022001002,106,1611661320,1611661317,2,201496,203014,203029,203833,1628279,100940,201913,203400,203829,1629488
1022001002,107,1611661317,1611661320,0,100940,201913,203400,203829,1629488,201496,203014,203029,203833,1628279
1022001002,109,1611661317,1611661320,0,100940,201913,203398,203400,203829,201496,203029,203437,203833,1628279
1022001002,113,1611661317,1611661320,3,201913,203398,203400,203829,1628278,200671,201496,203029,203833,1628279
1022001002,114,1611661320,1611661317,0,200671,201496,203029,203833,1628279,201913,203398,203400,203829,1628278
1022001002,115,1611661317,1611661320,1,201913,203398,203400,203829,1628278,200671,201496,203029,203833,1628279
1022001002,116,1611661320,1611661317,2,200671,201496,203029,203833,1628279,201913,203398,203400,203829,1628278
1022001002,117,1611661317,1611661320,0,201913,203398,203400,203829,1628278,200671,201496,203029,203833,1628279
1022001002,118,1611661320,1611661317,2,200671,201496,203029,203833,1628279,201913,203398,203400,203829,1628278
1022001002,119,1611661317,1611661320,2,201913,203398,203400,203829,1628278,200671,201496,203029,203833,1628279
1022001002,120,1611661320,1611661317,2,200671,201496,203029,203833,1628279,201913,203398,203400,203829,1628278
1022001002,121,1611661317,1611661320,0,201913,203398,203400,203829,1628278,200671,201496,203029,203833,1628279
1022001002,122,1611661320,1611661317,2,200671,203014,203029,1628279,1628282,201913,203398,203829,1628278,1629482
1022001002,123,1611661317,1611661320,0,201913,203398,203829,1628278,1629482,200671,203014,203029,1628279,1628282
1022001002,124,1611661320,1611661317,2,200671,203014,203029,1628279,1628282,201913,203398,203829,1628278,1629482
1022001002,125,1611661317,1611661320,0,201913,203398,203829,1628278,1629482,200671,203014,203029,1628279,1628282
1022001002,126,1611661320,1611661317,0,200671,203014,203029,1628279,1628282,201913,203398,203829,1628278,1629482
1022001002,127,1611661317,1611661320,0,201913,203398,203829,1628278,1629482,200671,203014,203029,1628279,1628282
1022001002,128,1611661320,1611661317,3,200671,203014,203029,1628279,1628282,201913,203398,203829,1628278,1629482
1022001002,129,1611661317,1611661320,0,201913,203398,203829,1628278,1629482,200671,203014,203029,1628279,1628282
1022001002,130,1611661320,1611661317,0,200671,203014,203029,1628279,1630099,201913,203398,203829,1628278,1629482
1022001002,131,1611661317,1611661320,0,201913,203398,203829,1628278,1629482,200671,203014,203029,1628279,1630099
1022001002,132,1611661320,1611661317,3,200671,203014,203029,1628279,1630099,201913,203398,203829,1628278,1629482
1022001002,133,1611661317,1611661320,0,201913,203398,203829,1628278,1629482,200671,203014,203029,1628279,1630099
1022001002,134,1611661320,1611661317,3,200671,203014,203029,1628279,1630099,201913,203398,203829,1628278,1629482
1022001002,135,1611661317,1611661320,0,201913,203398,203829,1628278,1629482,200671,203014,203029,1628279,1630099
1022001002,139,1611661320,1611661317,3,200671,203014,1628279,1628282,1630099,100940,201913,203829,1628278,1629482
1022001002,140,1611661317,1611661320,0,100940,201913,203829,1628278,1629501,200671,203014,1628279,1628282,1630099
1022001002,141,1611661320,1611661317,2,200671,203014,1628279,1628282,1630099,100940,201913,203829,1628278,1629501
1022001002,142,1611661317,1611661320,3,100940,201913,203829,1628278,1629501,200671,203014,1628279,1628282,1630099
1022001002,143,1611661320,1611661317,3,200671,203014,1628279,1628282,1630099,100940,201913,203829,1628278,1629501
1022001002,144,1611661317,1611661320,2,100940,201913,203829,1628278,1629501,200671,203014,203029,1629485,1630099
1022001002,145,1611661320,1611661317,0,200671,203014,203029,1629485,1630099,100940,201913,203829,1628278,1629501
1022001002,146,1611661320,1611661317,0,200671,203014,203029,1629485,1630099,100940,201913,203829,1628278,1629501
1022001002,147,1611661317,1611661320,2,100940,201913,203829,1628278,1629501,200671,203014,203029,1629485,1630099
1022001002,148,1611661320,1611661317,0,200671,203014,203029,1629485,1630099,100940,201913,203829,1628278,1629501
1022001002,149,1611661317,1611661320,2,100940,201913,203829,1628278,1629501,200671,203014,203029,1629485,1630099
1022001002,150,1611661320,1611661317,2,200671,203014,203029,1629485,1630099,100940,201913,203829,1628278,1629501
1022001002,151,1611661317,1611661320,3,201913,203400,203829,1628278,1629501,200671,203014,203029,1629485,1630099
1022001002,152,1611661320,1611661317,2,203014,203029,1628282,1629485,1630099,201913,203400,203829,1628278,1629501
1022001002,153,1611661317,1611661320,0,201913,203400,203829,1628278,1629501,203014,203029,1628282,1629485,1630099
1022001002,154,1611661320,1611661317,2,203014,203029,1628282,1629485,1630099,201913,203400,203829,1628278,1629501
1022001002,160,1611661320,1611661317,0,203029,204334,1628282,1629485,1630099,203398,203829,1628278,1629482,1629488
1022001002,161,1611661320,1611661317,0,203029,204334,1628282,1629485,1630099,203398,203829,1628278,1629482,1629488
1022001002,162,1611661317,1611661320,2,203398,203829,1628278,1629482,1629488,203029,204334,1628282,1629485,1630099
1022001002,163,1611661320,1611661317,0,203029,204334,1628282,1629485,1630099,203398,203829,1628278,1629482,1629488
1022001002,164,1611661320,1611661317,0,203029,204334,1628282,1629485,1630099,203398,203829,1628278,1629482,1629488
1022001002,165,1611661317,1611661320,2,203398,203829,1628278,1629482,1629488,203029,204334,1628282,1629485,1630099
1022001002,166,1611661320,1611661317,0,203029,204334,1628282,1629485,1630099,203829,1628278,1629482,1629488,1629501
1022001002,167,1611661320,1611661317,0,203029,204334,1628282,1629485,1630099,203829,1628278,1629482,1629488,1629501
